number,image_link,purchase
0,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,https://www.musinsa.com/app/goods/1466673
1,//image.msscdn.net/images/goods_img/20210302/1820701/1820701_16812966368324_500.jpg,https://www.musinsa.com/app/goods/1820701/0
2,//image.msscdn.net/images/goods_img/20220523/2574822/2574822_3_500.jpg,https://www.musinsa.com/app/goods/3231055/0
3,//image.msscdn.net/images/goods_img/20220609/2605850/2605850_1_500.jpg,https://www.musinsa.com/app/goods/2605850
4,//image.msscdn.net/images/goods_img/20210602/1979439/1979439_3_500.jpg,https://www.musinsa.com/app/goods/1979439
5,//image.msscdn.net/images/goods_img/20210503/1935180/1935180_16810899633102_500.jpg,https://www.musinsa.com/app/goods/1935180
6,//image.msscdn.net/images/goods_img/20200326/1369488/1369488_5_500.jpg,https://www.musinsa.com/app/goods/1369488
7,//image.msscdn.net/images/goods_img/20220330/2457512/2457512_2_500.jpg,https://www.musinsa.com/app/goods/2457512
8,//image.msscdn.net/images/goods_img/20190227/967320/967320_1_500.jpg,https://www.musinsa.com/app/goods/967320
9,//image.msscdn.net/images/goods_img/20180904/847182/847182_2_500.jpg,https://www.musinsa.com/app/goods/847182
10,//image.msscdn.net/images/goods_img/20230512/3293698/3293698_16838689790641_500.jpg,https://www.musinsa.com/app/goods/3293698
11,//image.msscdn.net/images/goods_img/20210709/2024939/2024939_1_500.jpg,https://www.musinsa.com/app/goods/2024939
12,//image.msscdn.net/images/goods_img/20210813/2063625/2063625_16903432102296_500.jpg,https://www.musinsa.com/app/goods/2063625
13,//image.msscdn.net/images/goods_img/20210819/2071212/2071212_1_500.jpg,https://www.musinsa.com/app/goods/2071212
14,//image.msscdn.net/images/goods_img/20220411/2479983/2479983_5_500.jpg,https://www.musinsa.com/app/goods/2479983
15,//image.msscdn.net/images/goods_img/20220126/2329532/2329532_16762491689303_500.jpg,https://www.musinsa.com/app/goods/2329532
16,//image.msscdn.net/images/goods_img/20230428/3267784/3267784_16831377100559_500.jpg,https://www.musinsa.com/app/goods/3267784
17,//image.msscdn.net/images/goods_img/20210105/1737051/1737051_9_500.jpg,https://www.musinsa.com/app/goods/1737051
18,//image.msscdn.net/images/goods_img/20230120/3036129/3036129_16745604936368_500.jpg,https://www.musinsa.com/app/goods/3036129
19,//image.msscdn.net/images/goods_img/20200924/1622019/1622019_6_500.jpg,https://www.musinsa.com/app/goods/1622019
20,//image.msscdn.net/images/goods_img/20220914/2789088/2789088_1_500.jpg,https://www.musinsa.com/app/goods/2789088
21,//image.msscdn.net/images/goods_img/20181025/890338/890338_8_500.jpg,https://www.musinsa.com/app/goods/890338
22,//image.msscdn.net/images/goods_img/20211230/2286964/2286964_16781724680547_500.jpg,https://www.musinsa.com/app/goods/2286964
23,//image.msscdn.net/images/goods_img/20170310/497055/497055_2_500.jpg,https://www.musinsa.com/app/goods/497055
24,//image.msscdn.net/images/goods_img/20200624/1495284/1495284_1_500.jpg,https://www.musinsa.com/app/goods/1495284
25,//image.msscdn.net/images/goods_img/20221226/2996528/2996528_16733219383612_500.jpg,https://www.musinsa.com/app/goods/2996528
26,//image.msscdn.net/images/goods_img/20210809/2052980/2052980_5_500.jpg,https://www.musinsa.com/app/goods/2052980
27,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,https://www.musinsa.com/app/goods/2289397
28,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,https://www.musinsa.com/app/goods/1833230
29,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,https://www.musinsa.com/app/goods/2126198
30,//image.msscdn.net/images/goods_img/20210223/1809978/1809978_2_500.jpg,https://www.musinsa.com/app/goods/1809978
31,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,https://www.musinsa.com/app/goods/1717388
32,//image.msscdn.net/images/goods_img/20200903/1582142/1582142_2_500.jpg,https://www.musinsa.com/app/goods/1582142
33,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,https://www.musinsa.com/app/goods/2877785
34,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,https://www.musinsa.com/app/goods/1593072
35,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,https://www.musinsa.com/app/goods/2754253
36,//image.msscdn.net/images/goods_img/20210830/2096933/2096933_2_500.jpg,https://www.musinsa.com/app/goods/2096933
37,//image.msscdn.net/images/goods_img/20220519/2569078/2569078_1_500.jpg,https://www.musinsa.com/app/goods/2569078
38,//image.msscdn.net/images/goods_img/20221014/2862908/2862908_1_500.jpg,https://www.musinsa.com/app/goods/2862908
39,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,https://www.musinsa.com/app/goods/2776429/0
